identifier,مصر_الثورة_النظام_أى_هى_الدولة_الآن,الشرطة_الأمن_الثورة_التحرير_المتظاهرين_ميدان_مبارك,المجلس_مجلس_وزير_وزارة_أمس_الوزراء_المصرى,المحافظة_وفى_المحافظ_بالمحافظة_مدينة_جنيه_سيناء,مصر_هل_الآن_الناس_الله_ولكن_أحد,AY_العام_النيابة_الدولة_وزير_المستشار_مبارك,الفريق_النادى_الفنى_الكرة_الأول_الأهلى_المباراة,جنيه_مصر_الشركة_شركة_المالية_الشركات_ألف,يا_اللى_أنا_مش_ده_إيه_لى,المسلمين_مصر_الإسلامية_الأقباط_الله_الكنيسة_الإسلام,مدير_النيابة_اللواء_المتهم_الأمن_التحقيقات_القبض,الحزب_الانتخابات_الشعب_الوطنى_مجلس_الإخوان_المجلس,مصر_الأمريكية_المتحدة_العربية_إسرائيل_المصرية_الدول,القذافى_أمس_ليبيا_تونس_الرئيس_وفى_البلاد,الفيلم_فيلم_المصرى_وفى_مصر_العام_السينما
AY041520,0.0526537046768261,0.0841828691539674,0.0158696794534945,0.000105097214923805,0.000105097214923805,0.000105097214923805,0.809353652128219,0.000105097214923805,0.000105097214923805,0.000105097214923805,0.0158696794534945,0.000105097214923805,0.000105097214923805,0.000105097214923805,0.0211245401996847
AY041521,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.989618815896188,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00827250608272506,0.00016220600162206,0.00016220600162206
AY041522,0.0401859285865202,4.2256496936404e-05,4.2256496936404e-05,0.0021550813437566,0.0232833298119586,4.2256496936404e-05,0.919121064863723,0.0042679061905768,0.0106063807310374,4.2256496936404e-05,4.2256496936404e-05,4.2256496936404e-05,4.2256496936404e-05,4.2256496936404e-05,4.2256496936404e-05
AY041523,0.105176294073518,0.000150037509377344,0.000150037509377344,0.000150037509377344,0.0976744186046511,0.000150037509377344,0.352738184546137,0.000150037509377344,0.000150037509377344,0.000150037509377344,0.00765191297824456,0.150187546886722,0.285221305326332,0.000150037509377344,0.000150037509377344
AY041524,0.0293450420783022,0.0439809732894255,7.31796560556165e-05,7.31796560556165e-05,0.0220270764727406,7.31796560556165e-05,0.90384193194292,7.31796560556165e-05,7.31796560556165e-05,7.31796560556165e-05,7.31796560556165e-05,7.31796560556165e-05,7.31796560556165e-05,7.31796560556165e-05,7.31796560556165e-05
AY041525,0.0568859441552295,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05,0.0663511594888784,0.875627070515854,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05,9.46521533364884e-05
AY041526,8.49978750531237e-05,8.49978750531237e-05,8.49978750531237e-05,8.49978750531237e-05,0.0340841478963026,8.49978750531237e-05,0.93931151721207,8.49978750531237e-05,8.49978750531237e-05,8.49978750531237e-05,8.49978750531237e-05,8.49978750531237e-05,0.0255843603909902,8.49978750531237e-05,8.49978750531237e-05
AY041527,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.997975415762834,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542
AY041528,0.000191754554170662,0.000191754554170662,0.00977948226270374,0.0864813039309684,0.000191754554170662,0.000191754554170662,0.604218600191755,0.000191754554170662,0.000191754554170662,0.000191754554170662,0.000191754554170662,0.000191754554170662,0.0960690316395014,0.000191754554170662,0.201534036433365
AY041529,0.012369871402327,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.986037966932027,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.000122473974280465,0.000122473974280465
AY041530,0.0724078539441957,6.88942473303479e-05,6.88942473303479e-05,6.88942473303479e-05,0.692456079917327,6.88942473303479e-05,6.88942473303479e-05,6.88942473303479e-05,6.88942473303479e-05,6.88942473303479e-05,0.0310713055459869,0.0930761281433,0.110299689975887,6.88942473303479e-05,6.88942473303479e-05
AY041531,0.185544460294817,9.51022349025202e-05,0.380504041844983,0.137993342843557,9.51022349025202e-05,9.51022349025202e-05,9.51022349025202e-05,0.147503566333809,0.142748454588683,9.51022349025202e-05,9.51022349025202e-05,0.00485021398002853,9.51022349025202e-05,9.51022349025202e-05,9.51022349025202e-05
AY041532,0.0243546917704221,6.07348921955664e-05,0.349286365016702,6.07348921955664e-05,6.07348921955664e-05,0.0881263285757668,6.07348921955664e-05,0.239963559064683,6.07348921955664e-05,6.07348921955664e-05,6.07348921955664e-05,6.07348921955664e-05,0.297661706650471,6.07348921955664e-05,6.07348921955664e-05
AY041533,0.0280125742228432,6.9856793573175e-05,6.9856793573175e-05,0.0419839329374782,6.9856793573175e-05,0.0524624519734544,0.0908836884387007,0.258539993014321,6.9856793573175e-05,6.9856793573175e-05,6.9856793573175e-05,6.9856793573175e-05,0.527488648271044,6.9856793573175e-05,6.9856793573175e-05
AY041534,8.02246289610911e-05,0.0121139189731247,8.02246289610911e-05,8.02246289610911e-05,0.0803048535900521,8.02246289610911e-05,8.02246289610911e-05,0.0361813076614521,8.02246289610911e-05,8.02246289610911e-05,8.02246289610911e-05,8.02246289610911e-05,0.072282390693943,8.02246289610911e-05,0.798315282791817
AY041535,0.0412005457025921,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.36862210095498,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.0957708049113233,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.491405184174625
