identifier,حالة_قانون_أمن_الدولة_الطوارئ_القانون_التظاهر,المواطنين_الامن_النار_المسلحة_عناصر_وأضاف_مدينة,السيد_دمشق_العام_جامعة_العربية_وزيرا_العربي,بغداد_بجروح_الشرطة_العراقية_مقتل_مصدر_العراق,سورية_التعاون_البلدين_العلاقات_السورية_مجلس_الوزراء,الرئيس_الأسد_سورية_المنطقة_العلاقات_الخارجية_وزير,العامة_مجلس_المادة_رقم_القانون_مشروع_وزير,الشهيد_الوطن_الشرطي_للوطن_سورية_الله_الشهداء,العربية_الدولية_الدولي_الدول_اسرائيل_المتحدة_العربي,الاحتلال_الفلسطينية_الاسرائيلي_قوات_الفلسطينيين_غزة_مدينة,ليبيا_الليبية_الليبي_أمس_وكالة_الشعب_مصر,سورية_الوطنية_الرئيس_الشعب_السوري_الأسد_السورية,لبنان_اللبنانية_اللبناني_الله_السورية_المقاومة_السوريين,مم_المنطقة_منطقة_محافظة_درجات_الحرارة_دمشق,المتحدة_ونقلت_الولايات_قوله_أمس_العام_الامريكية
TH20110407$363,0.0273458445040215,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.536729222520107,0.000536193029490617,0.188203753351206,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.241823056300268
TH20110407$364,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.297473997028232,0.000297176820208024,0.000297176820208024,0.446062407132244,0.000297176820208024,0.252897473997028,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.000297176820208024
TH20110407$365,0.000148920327624721,0.000148920327624721,0.461801935964259,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.156515264333582,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.379895755770663,0.000148920327624721,0.000148920327624721,0.000148920327624721
TH20110407$366,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.97504873294347,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.0198830409356725,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285
TH20110407$367,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.993220338983051,0.000484261501210654
TH20110407$368,0.000397614314115308,0.576938369781312,0.000397614314115308,0.000397614314115308,0.0799204771371769,0.119681908548708,0.000397614314115308,0.000397614314115308,0.000397614314115308,0.000397614314115308,0.000397614314115308,0.000397614314115308,0.139562624254473,0.000397614314115308,0.0799204771371769
TH20110426$369,0.421922428330523,0.270151770657673,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.152107925801012,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.152107925801012
TH20110427$370,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.247900894700619,0.750309704060564,0.000137646249139711,0.000137646249139711
TH20110427$371,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.024113475177305,0.000472813238770686,0.969739952718676,0.000472813238770686,0.000472813238770686,0.000472813238770686
TH20110427$372,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.998149372108394,0.000132187706543291,0.000132187706543291,0.000132187706543291
